				Real	H_100_py	H_100_ex	H_90_py	H_90_ex	H_80_py	H_80_ex	H_70_py	H_70_ex	H_60_py	H_60_ex	H_50_py	H_50_ex	Promedio	Promedio_Ex
125	125	CameraDown	28.0.png	28.0	-86	-85.42	-84	-83.13	-85	-84.38	-85	-84.38	-82	-81.12	-82	-81.67	-84.00	-83.35
126	126	CameraDown	29.0.png	29.0	-86	-85.33	-83	-83.00	-85	-84.25	-85	-84.25	-81	-81.00	-82	-81.50	-83.67	-83.22
127	127	CameraDown	30.0.png	30.0	-86	-85.25	-83	-82.91	-85	-84.13	-85	-84.13	-81	-80.86	-82	-81.33	-83.67	-83.10
128	128	CameraDown	31.0.png	31.0	-86	-85.17	-83	-82.82	-84	-84.00	-84	-84.00	-81	-80.71	-82	-81.17	-83.33	-82.98
129	129	CameraDown	32.0.png	32.0	-86	-85.08	-83	-82.73	-84	-83.89	-84	-83.86	-81	-80.57	-81	-81.00	-83.17	-82.85
130	130	CameraDown	33.0.png	33.0	-85	-85.00	-83	-82.64	-84	-83.78	-84	-83.71	-81	-80.43	-81	-80.83	-83.00	-82.73
131	131	CameraDown	34.0.png	34.0	-85	-84.90	-83	-82.55	-84	-83.67	-84	-83.57	-81	-80.29	-81	-80.67	-83.00	-82.61
132	132	CameraDown	35.0.png	35.0	-85	-84.80	-83	-82.45	-84	-83.56	-84	-83.43	-81	-80.14	-81	-80.50	-83.00	-82.48
133	133	CameraDown	36.0.png	36.0	-85	-84.70	-83	-82.36	-84	-83.44	-84	-83.29	-80	-80.00	-81	-80.33	-82.83	-82.35
134	134	CameraDown	37.0.png	37.0	-85	-84.60	-83	-82.27	-84	-83.33	-84	-83.14	-80	-79.86	-81	-80.17	-82.83	-82.23
135	135	CameraDown	38.0.png	38.0	-85	-84.50	-83	-82.18	-84	-83.22	-83	-83.00	-80	-79.71	-80	-80.00	-82.50	-82.10
136	136	CameraDown	39.0.png	39.0	-85	-84.40	-83	-82.09	-84	-83.11	-83	-82.88	-80	-79.57	-80	-79.86	-82.50	-81.98
137	137	CameraDown	40.0.png	40.0	-85	-84.30	-82	-82.00	-83	-83.00	-83	-82.75	-80	-79.43	-80	-79.71	-82.17	-81.87
139	139	CameraDown	41.0.png	41.0	-85	-84.20	-82	-81.90	-83	-82.89	-83	-82.63	-80	-79.29	-80	-79.57	-82.17	-81.75
